ecosystem,locked_path,package,version,license_expression,scope,disposition,notes
python,requirements/ci.lock,pytest-asyncio,1.1.0,Apache-2.0,development,accepted,
python,requirements/ci.lock,pytest-cov,6.2.1,MIT,development,accepted,
python,requirements/runtime.lock,python-dotenv,1.2.2,BSD-3-Clause,runtime,accepted,
python,requirements/runtime.lock,python-multipart,0.0.20,Apache-2.0,runtime,accepted,
python,requirements/runtime.lock,PyYAML,6.0.3,MIT,runtime,accepted,
python,requirements/runtime.lock,referencing,0.37.0,MIT,runtime,accepted,
python,requirements/ci.lock,reportlab,4.4.9,BSD-3-Clause,documentation,accepted,
python,requirements/runtime.lock,rpds-py,2026.6.3,MIT,runtime,accepted,
python,requirements/ci.lock,ruff,0.12.8,MIT,development,accepted,
python,requirements/runtime.lock,scikit-learn,1.9.0,BSD-3-Clause,runtime,accepted,
python,requirements/runtime.lock,scipy,1.18.0,BSD-3-Clause,runtime,accepted,
python,requirements/runtime.lock,SQLAlchemy,2.0.51,MIT,runtime,accepted,
python,requirements/runtime.lock,starlette,1.6.0,BSD-3-Clause,runtime,accepted,
python,requirements/runtime.lock,threadpoolctl,3.6.0,BSD-3-Clause,runtime,accepted,
python,requirements/runtime.lock,typing_extensions,4.16.0,PSF-2.0,runtime,accepted,
python,requirements/runtime.lock,typing-inspection,0.4.3,MIT,runtime,accepted,
python,requirements/runtime.lock,uvicorn,0.35.0,BSD-3-Clause,runtime,accepted,
python,requirements/runtime.lock,uvloop,0.22.1,MIT,runtime,accepted,
python,requirements/runtime.lock,watchfiles,1.2.0,MIT,runtime,accepted,
python,requirements/runtime.lock,websockets,17.0.1,BSD-3-Clause,runtime,accepted,
javascript,node_modules/@adobe/css-tools,@adobe/css-tools,4.5.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@asamuzakjp/css-color,@asamuzakjp/css-color,6.0.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@asamuzakjp/css-color/node_modules/lru-cache,lru-cache,11.5.2,BlueOak-1.0.0,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@asamuzakjp/dom-selector,@asamuzakjp/dom-selector,8.3.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@asamuzakjp/dom-selector/node_modules/lru-cache,lru-cache,11.5.2,BlueOak-1.0.0,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/code-frame,@babel/code-frame,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/compat-data,@babel/compat-data,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/core,@babel/core,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/generator,@babel/generator,7.29.8,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/helper-compilation-targets,@babel/helper-compilation-targets,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/helper-globals,@babel/helper-globals,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/helper-module-imports,@babel/helper-module-imports,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/helper-module-transforms,@babel/helper-module-transforms,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/helper-string-parser,@babel/helper-string-parser,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/helper-validator-identifier,@babel/helper-validator-identifier,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/helper-validator-option,@babel/helper-validator-option,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/helpers,@babel/helpers,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/parser,@babel/parser,7.29.8,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/runtime,@babel/runtime,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/template,@babel/template,7.29.7,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/traverse,@babel/traverse,7.29.8,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@babel/types,@babel/types,7.29.8,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@bramus/specificity,@bramus/specificity,2.4.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@csstools/color-helpers,@csstools/color-helpers,6.1.0,MIT-0,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@csstools/css-calc,@csstools/css-calc,3.3.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@csstools/css-color-parser,@csstools/css-color-parser,4.1.10,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@csstools/css-parser-algorithms,@csstools/css-parser-algorithms,4.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@csstools/css-syntax-patches-for-csstree,@csstools/css-syntax-patches-for-csstree,1.1.7,MIT-0,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@csstools/css-tokenizer,@csstools/css-tokenizer,4.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@emnapi/core,@emnapi/core,1.10.0,MIT,development+optional,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@emnapi/runtime,@emnapi/runtime,1.11.3,MIT,runtime+optional,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@emnapi/wasi-threads,@emnapi/wasi-threads,1.2.1,MIT,development+optional,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/@eslint-community/eslint-utils,@eslint-community/eslint-utils,4.10.1,MIT,development,accepted,License metadata recorded in npm lockfile.
